code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,Power Generator,WACKER NEWSON,GP 6600,Generators & Power,24306297,1,,,,,
,Hammer Drill,Bosch,RH-850VC,Drills & Drivers,326000198,1,,,,,
,"20"" Walk Behind Concrete Saw",Diamond Products,GX390,Saws,170275,1,,,,,
,Skill Saw,,SPTT77W,Saws,332000982,1,,,,,
,Skill Saw,,SPTT77W,Saws,330000050,1,,,,,
,Hammer Drill,Bosch,11255VSR,Drills & Drivers,225186070,1,,,,,
,Hammer Drill,Bosch,11255VSR,Drills & Drivers,331008983,1,,,,,
,"Angle Grinder 4 1/2""",,GWS10-450P 324024183,Grinders,,1,,,,,
,Hammer Drill,,11264EVS,Drills & Drivers,522001249,1,,,,,
,Hammer Drill,,11264EVS,Drills & Drivers,525000118,1,,,,,
,"1/2"" Electric Drill",,,Drills & Drivers,c524150N610179,1,,,,,
,Lept Spectra,,AL-28m,,907758-202106,1,,,,,
,"Smart Level 4""",Stabila,,Survey & Layout,,1,,,,,
,Concrete Vibrator,WACKER NEWSON,M-1500,Compaction,11299047,1,,,,,
,Sumergeble Pump,TSURIMY,HS2.48,,,1,,,,,
,Metal Tank,,5 gal,,,3,,,,,
,Red Metal,,5 gal,,,2,,,,,
,Metal bottle sprayer,,,,,2,,,,,
,Ext cord,,"50\""",,,1,,,,,
,Ext cord,,"25\""",,,2,,,,,
,Power Generator,Honda,EB6500X,Generators & Power,EBCL-151881,1,,,,,
,"7"" Angle Grinder 15anp",,1974-8D,Grinders,523000128,1,,,,,
,Hammer Drill,,11264EVS,Drills & Drivers,422000799,1,,,,,
,QUIKIE SAW,,TS-420,Saws,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,GEBYT-2081997 24629601,Compaction,,1,,,,,
,PLATE COMPACTOR,,,Compaction,,1,,,,,
,Fire Extinguisher,Buckeye,5LB,,,2,,,,,
,Hand Blower,STIHL,BG50,Blowers & Yard,541307606,1,,,,,
,Back Pack Blowers,STIHL,450,Blowers & Yard,545526852,1,,,,,
,Back Pack Blowers,STIHL,450,Blowers & Yard,545526641,1,,,,,
,Skill Saw,,,Saws,,1,,,,,
,Skill Saw,,,Saws,332004110,1,,,,,
,Skill Saw,,,Saws,0 32000875,1,,,,,
,QUIKIE SAW,,,Saws,,1,,,,,
,Skill Saw,,,Saws,,1,,,,,
,"1/2"" Hammer Drill/Driver",DeWalt,DCD996P2,Drills & Drivers,DW235G,1,,,,,
,"1/2"" Impact Wrench",Milwaukee,2767-20,Drills & Drivers,H96AM225119205,1,,,,,
,"1/2"" Impact Wrench",Milwaukee,2767-20,Drills & Drivers,H96AM225119067,1,,,,,
,"1/4"" Hex Impact Driver",Milwaukee,2953-20,Drills & Drivers,M67AF231403677,1,,,,,
,Power Generator,Honda,EB 6500X,Generators & Power,2431600,1,,,,,
,Portable Inverter Generator,Honda,EU 2200i,Generators & Power,EAMT-2741926,1,,,,,
,SDS Max Hammer,Bosch,,Drills & Drivers,3611 B64012,1,,,,,
,"Skillsaw 7-1/4""",Skillsaw,,,325000128,1,,,,,
,Extension Cord 100',Yellow Jacket,,,,2,,,,,
,"14"" cutquick saw",Stihl,,Saws,,1,,,,,
,"4-1/2""/5"" Grinder Paddle Switch",Bosch,,Grinders,,1,,,,,
,Air Compressor,,,Generators & Power,,1,,,,,
,Nail Gun,Makita,,,,1,,,,,
,Sawzall Reciprocating Saw,Milwaukee,,Saws,,1,,,,,
,Headlamps for Employees,Cosoos,,,,7,,,,,
,Harness M-L,Guardian,,,,7,,,,,
,"48"" Shovel Square",Union Tools,,Hand Tools,,1,,,,,
,"48"" Shovel Point",Union Tools,,Hand Tools,,1,,,,,
,"Wrench pipe 48""",Ridgid,,Hand Tools,,1,,,,,
,Sledge Hammer 16lbs,True Temper,,Drills & Drivers,,1,,,,,
,Backpack Concrete Vibrator,Wacker Newuson,BV50A-H,Compaction,,1,,,,,
,Gas blower,Stihl,BG50,Blowers & Yard,,1,,,,,
,"Pry Bar 60""",Kraft,,Hand Tools,,2,,,,,
,"48"" Finish broom w/bracket",Marshalltown,,,,1,,,,,
,Gas can 5 gal,Eagle,,,,4,,,,,
,Diesel can 5 gal,Eagle,,,,3,,,,,
,Form Release Red Can,Chapin,,,,1,,,,,
,"Magnetic Level 72""",Milwaukee,,Survey & Layout,,1,,,,,
,"Magnetic Level 48""",Milwaukee,,Survey & Layout,,1,,,,,
,"7 1/4"" Skill Saw",,,Saws,,1,,,,,
,Quikie Saw,,,Saws,,1,,,,,
,Skill Saw,,,Saws,32000875,1,,,,,
,Fire Extinguisher,,5 LB,,,4,,,,,
,Electric Rebar Bender,VEVOR,NRB-25,,23092859864,1,,,,,
,"Heaby Dutty Chain 1/2""",,,,,1,,,,,
,"Heaby Dutty Chain 3/8""",,,,,1,,,,,
,Chain Tensioner,,,,,2,,,,,
,100' Heavy Duty Extension cords,,,,,2,,,,,
,"4-1/2"" Angel Grinder",,,Grinders,,1,,,,,
,Battery Chargers,Dewalt,,Generators & Power,,1,,,,,
,Warm Drive Circular Saw,Skilsaw,,Saws,,1,,,,,
,"7"" Angel Grinder",Dewalt,,Grinders,,1,,,,,
,Hammer Drill,Bosch,,Drills & Drivers,,1,,,,,
,Water pump,,,,,1,,,,,
,Reciprocator Saw,Dewalt,,Saws,,1,,,,,
,"Wrench 1/2"" drive with battery",Wacker Newson,,Generators & Power,,1,,,,,
,Electric Vibrator,Wacker Newson,,Compaction,,1,,,,,
,3M Harnesses,,,,,3,,,,,
,Safty Can Red,Justrite,,,,2,,,,,
,Concrete Vibrator Nozzle,,,Compaction,,1,,,,,
,Hammer,Bosch,,Drills & Drivers,,1,,,,,
,Pick,,,,,1,,,,,
,Shovel,,,Hand Tools,,3,,,,,
,Hand Blower,Stihl,,Blowers & Yard,,1,,,,,
,Plate Compactor,Wacker Newson,,Compaction,,1,,,,,
,Power Generator,Wacker Newson,,Generators & Power,,1,,,,,
,Quicky Saw,Stihl,,Saws,,1,,,,,
,Comealong Concrete Tools,,,,,3,,,,,
,Bull Float 6',,,,,1,,,,,
,Screed 16',,,Compaction,,1,,,,,
,Screed 10',,,Compaction,,1,,,,,
,Pipe Extension Handles 6',,,,,6,,,,,
,Concrete Finish Brush -Broom,,,,,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBLC-1520001,1,,,,,
,GENERATOR,HONDA,EB6500X,Generators & Power,EBLC-1318881,1,,,,,
,PLATE COMPACTOR,WACKER NEWSON,WP1550AW,Compaction,11856380,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH540M,Drills & Drivers,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-H,Compaction,,1,,,,,
,"7 1/2"" WARM DRIVE SAW",SKILL SAW,,Saws,32004128,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Saws,193794154,1,,,,,
,LEAF BLOWER,STIHL,BS-50,Blowers & Yard,534185359,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Drills & Drivers,128003405,1,,,,,
,"20"" Walk Behind Concrete Saw",Husqvarna,FS400LV,Saws,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,4,,,,,
,50' Heavy Duty Extension Cords,,,,,2,,,,,
,"4-1/2"" Angle Grinder",Bosch,,Grinders,131029065,1,,,,,
