code,description,make,model,category,serial,quantity,cost,purchased_on,warranty_expires,location,owning_project
,Plate Compactor,Wacker Newson,,,,1,,,,,
,Power Generator,Wacker Newson,,,,1,,,,,
,Quicky Saw,Stihl,,Power Tools,,1,,,,,
,Comealong Concrete Tools,,,,,3,,,,,
,Bull Float 6',,,,,1,,,,,
,Screed 16',,,,,1,,,,,
,Screed 10',,,,,1,,,,,
,Pipe Extension Handles 6',,,,,6,,,,,
,Concrete Finish Brush -Broom,,,,,1,,,,,
,GENERATOR,HONDA,EB6500X,,EBLC-1520001,1,,,,,
,GENERATOR,HONDA,EB6500X,,EBLC-1318881,1,,,,,
,PLATE COMPACTOR,WACKER NEWSON,WP1550AW,,11856380,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,RH540M,Power Tools,,1,,,,,
,BACK PACK VIBRATOR,WACKER NEWSON,BV50A-H,,,1,,,,,
,"7 1/2"" WARM DRIVE SAW",SKILL SAW,,Power Tools,32004128,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,193794154,1,,,,,
,LEAF BLOWER,STIHL,BS-50,,534185359,1,,,,,
,ELECTRIC HAMMER DRILL,BOSCH,11264EVS,Power Tools,128003405,1,,,,,
,"20"" Walk Behind Concrete Saw",Husqvarna,FS400LV,Power Tools,,1,,,,,
,100' Heavy Duty Extension Cords,,,,,4,,,,,
,50' Heavy Duty Extension Cords,,,,,2,,,,,
,"4-1/2"" Angle Grinder",Bosch,,Power Tools,131029065,1,,,,,
,"1/2"" Electrical Drill",Dewalt,DW235G,Power Tools,DFCJ4DX,1,,,,,
,SDS Plus Drill,Metabo,,Power Tools,210351,1,,,,,
,Concrete vibrator Nozzle,,,,,1,,,,,
,pick,,,,,2,,,,,
,Shovel,,,,,4,,,,,
,Bull Float,,,,,1,,,,,
,Fresno,,,,,1,,,,,
,Ply Bars,,,,,2,,,,,
,Metal Gasoline Can With Flex Funnel Nozzle Red,Eagle,,,,2,,,,,
,Perforamance 2 tool Combo Kit,BOSCH,GXL18V-227B25,,D#22700527 I#224006545,1,,,,,
,Quiki Saw,STIHL,TS-420,Power Tools,193914403,1,,,,,
,"Impact Wrench 1/2""",Bosch,GDS18V-740CB14,Power Tools,223000081,1,,,,,
,Hammer Drill,Bosch,11264EVS,Power Tools,328001245,1,,,,,
,Plate Compactor,,,,,1,,,,,
,QUIKIE SAW,STIHL,TS-420,Power Tools,,1,,,,,
,LEAF BLOWER,STIHL,BS-50,,,1,,,,,
,Generator,Honda,EB5000X,,EB-50-AN,1,,,,,
,Vibroplate,Mikasa MQ,G13076,,PC-012,1,,,,,
,Cordless Impact Wrench,Bosch,GDS18V-740C,Power Tools,,1,,,,,
,Cordless Impact Wrench,Milwaukee,2 Tool Kit Impact M18 Fuel,Power Tools,2997-22,1,,,,,
,Cordless Impact Wrench,DeWalt,Cordless,Power Tools,DCF899,1,,,,,
,Rotary Hammer,Bosch,RH540M,Power Tools,029012917,1,,,,,
,"7-1/4"" Worm Drive Saw",Skilsaw,E490426,Power Tools,032001988,1,,,,,
